ID,Tissue,Region,Developmental_Stage,FirstAuthor,Year_Published,Number of cells (before filtering),Number of cells (rounding),Sequencing technique,Number of donors,Number of female donors,Number of male donors,PMID,Title,Link,Species,Access date,Additional notes
27,Brain,"caudate nucleus, hippocampal formation, dorsolateral prefrontal cortex, anterior cingulate cortex","infant stage, 4-year-old stage, 6-year-old stage, 14-year-old stage, 20-year-old stage, 39-year-old stage, 61-year-old stage, 62-year-old stage",Clarence,2025,"101,924",~100k,10x multiome,10,5,5,39962241,Multiomic single-cell profiling identifies critical regulators of postnatal brain,https://www.nature.com/articles/s41588-025-02083-8,Human,2/12/2025,
28,Brain,hypothalamus,Adult,Tadross,2025,"433,369",~430k,10x 3' v3,,,,39910307,A comprehensive spatio-cellular map of the human hypothalamus,https://www.nature.com/articles/s41586-024-08504-8,Human,2/12/2025,
29,Brain,Prefrontal cortex,Adult,Pan,2024,"31,971",~30k,10x 3' v3,8,3,5,39217398,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling: a case study,https://actaneurocomms.biomedcentral.com/articles/10.1186/s40478-024-01853-5,Human,2/13/2025,
30,Brain,hippocampus,Adult,Xu,2023,"676,845",~650k,10x 3' v3 and 10x 3' v3,17,5,12,38134877,Automatic cell-type harmonization and integration across Human Cell Atlas datasets,https://www.sciencedirect.com/science/article/pii/S0092867423013120?via%3Dihub,Human,3/12/2025,
31,Brain,Neocortex,Adult,Johansen,2023,"377,188",~380k,10x 3' v3,78,32,46,37824649,Interindividual variation in human cortical cell type abundance and expression,https://pubmed.ncbi.nlm.nih.gov/37824649/,Human,3/12/2025,
32,Brain,"brain, cerebellum","AdultCerebellum, FetalBrain",Han,2020,"7324 from AdultCerebellum
13625 from FetalBrain",~20k,microwell-seq,"1 donor for AdultCerebellum
4 donors for FetalBrain",-,-,32214235,Construction of a human cell landscape at single-cell level,https://pubmed.ncbi.nlm.nih.gov/32214235/,Human,2/9/2025,
33,Brain,"cerebellum, telencephalon",prenatal,Cao,2020,"263245 from cerebellum
412920 from telencephalon",~700k,sci-RNA-seq3,"5 donors cerebellum
7 donors telencephalon","2 female donors cerebellum
2 female donors telencephalon","3 male donors cerebellum
7 male donors telencephalon",33184181,A human cell atlas of fetal gene expression,https://pubmed.ncbi.nlm.nih.gov/33184181/,Human,3/9/2025,
34,Brain,"brain meninx
forebrain meninges
meninx",prenatal (5 to 13 weeks),Linnarsson,-,"156,726",~150k,10x 3' v3,13,7,6,-,-,https://github.com/linnarsson-lab/human-meninges-development,Human,3/9/2025,
35,Brain,dorsolateral prefrontal cortex,adult,Yang,-,21155,~20k,10x multiome,10 (normal),6 (normal),4 (normal),-,-,-,Human,3/9/2025,
36,Brain,dorsolateral prefrontal cortex,adult,Lee,2024,"121,078 (normal)",~120k,10x 3' v3,26 (normal),17 (normal),9 (normal),-,Single-cell atlas of transcriptomic vulnerability across multiple neurodegenerative and neuropsychiatric diseases,https://www.medrxiv.org/content/10.1101/2024.10.31.24316513v1,Human,3/9/2025,cohort RADC
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
*Excluded datasets,Reasons for exclusion,,,,,,,,,,,,,,,,
Chan et al. 2021,This is a lung cancer focus study,,,,,,,,,,,,,,,,
Salcher et al. 2022,This is a lung cancer focus study,,,,,,,,,,,,,,,,
Tian et al. 2023,single-cell methylation data,,,,,,,,,,,,,,,,
Chien et al. 2023,methylation data,,,,,,,,,,,,,,,,
He et al. 2024,organoid data,,,,,,,,,,,,,,,,
Mannens et al. 2024,single-cell ATAC seq datasets,,,,,,,,,,,,,,,,
Vinsland et al. ,organoid data,,,,,,,,,,,,,,,,
